instance_id,seed,p,task_id,shots,resample,method,low_energy_probability,improving_probability,found_improvement,best_improvement,distribution_entropy,unique_states
seed002_pair1_B2_w8,2,1,2608021810408258938,64,1,posthoc_without_replacement_from_real_1024_counts,0.0625,0.0,False,0.0,5.663909765557392,54
seed002_pair1_B2_w8,2,1,2608021810408258938,64,2,posthoc_without_replacement_from_real_1024_counts,0.109375,0.0,False,0.0,5.6875,54
seed002_pair1_B2_w8,2,1,2608021810408258938,64,3,posthoc_without_replacement_from_real_1024_counts,0.078125,0.0,False,0.0,5.706954882778696,55
seed002_pair1_B2_w8,2,1,2608021810408258938,64,4,posthoc_without_replacement_from_real_1024_counts,0.078125,0.0,False,0.0,5.738204882778696,56
seed002_pair1_B2_w8,2,1,2608021810408258938,64,5,posthoc_without_replacement_from_real_1024_counts,0.125,0.0,False,0.0,5.800704882778696,58
seed002_pair1_B2_w8,2,1,2608021810408258938,64,6,posthoc_without_replacement_from_real_1024_counts,0.15625,0.0,False,0.0,5.581954882778696,52
seed002_pair1_B2_w8,2,1,2608021810408258938,64,7,posthoc_without_replacement_from_real_1024_counts,0.171875,0.015625,True,0.8005815684215065,5.75,56
seed002_pair1_B2_w8,2,1,2608021810408258938,64,8,posthoc_without_replacement_from_real_1024_counts,0.09375,0.0,False,0.0,5.71875,55
seed002_pair1_B2_w8,2,1,2608021810408258938,64,9,posthoc_without_replacement_from_real_1024_counts,0.109375,0.0,False,0.0,5.769454882778696,57
seed002_pair1_B2_w8,2,1,2608021810408258938,64,10,posthoc_without_replacement_from_real_1024_counts,0.09375,0.0,False,0.0,5.75,56
seed002_pair1_B2_w8,2,1,2608021810408258938,64,11,posthoc_without_replacement_from_real_1024_counts,0.109375,0.0,False,0.0,5.75,56
seed002_pair1_B2_w8,2,1,2608021810408258938,64,12,posthoc_without_replacement_from_real_1024_counts,0.015625,0.0,False,0.0,5.644454882778696,53
seed002_pair1_B2_w8,2,1,2608021810408258938,64,13,posthoc_without_replacement_from_real_1024_counts,0.0625,0.0,False,0.0,5.84375,59
seed002_pair1_B2_w8,2,1,2608021810408258938,64,14,posthoc_without_replacement_from_real_1024_counts,0.078125,0.0,False,0.0,5.675704882778696,54
